Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"!Addinol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Смазочные материалы для транспорта";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!! Технические описания продуктов";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!! Аэрозоли";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Batteriepolschutzspray";"";"";"RUB";"";"1";"";"";"";"Для технического ухода и защиты полюсов аккумулятора, соединительных зажимов, держателей батареи и соединений с массой. Продукт защищает от коррозии, от утечек тока и потерь напряжения, тем самым продлевая срок службы аккумулятора.<br><br><strong>EAN код Batteriepolschutzspray 0,15L:</strong> 4014766072436";"";"Batteriepolschutzspray";"";"";"batteriepolschutzspray";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Batteriepolschutzspray 150ml.jpg";"";"";""
"Korrosionschutzspray KO 6-F";"";"";"RUB";"";"1";"";"";"";"Антикоррозионная водовытесняющая жидкость с прекрасной проникающей способностью. Содержит растворитель. Образует тонкую маслянистую пленку.<br><br>Спецификации и лицензии <br><strong>KO 6 F:</strong> вязкость при 40°С около ≈ 2,12 мм²/с<br><br><strong>EAN код Korrosionschutzspray KO 6-F 0,5L:</strong> 4014766070883";"";"Korrosionschutzspray KO 6-F";"";"";"korrosionschutzspray-ko-6-f";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/KO 6-F 500ml.jpg";"";"";""
"Kriechöl Spray";"";"";"RUB";"";"1";"";"";"";"Водовытесняющее антикоррозионное вещество, отличающееся великолепной проникающей способностью, растворяет покрытые ржавчиной соединения; образует тонкую маслянистую пленку.<br><br><span><span style='color: #333333;'>Спецификации и лицензии<br><strong>KRIECHÖL:</strong> вязкость при 20°С около 3,4 мм<sup>2</sup>/с<br><br><strong>EAN код Kriechöl Spray 0,5L:</strong> 4014766072368<br></span></span>";"";"Kriechöl Spray";"";"";"kriechöl-spray";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Kriechöl 500ml.jpg";"";"";""
"Feinmechaniköl Spray XF 12";"";"";"RUB";"";"1";"";"";"";"Специальное масло для смазки прецизионных агрегатов<br><br>Спецификации и лицензии <br><strong>FEINMECHANIKÖL XF 12:</strong> вязкость при 40°С около 12 мм²/с";"";"Feinmechaniköl Spray XF 12";"";"";"feinmechaniköl-spray-xf-12";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Feinmechanik XF 12 100ml.jpg";"";"";""
"Silikonspray";"";"";"RUB";"";"1";"";"";"";"Химически стойкое бесцветное универсальное антифрикционное средство для всех поверхностей. Используется в качестве смазочного, чистящего и защитного средства.<br>Характеризуется исключительной совместимостью с уплотнителями.<br>Диапазон температур применения: от -50°C до +250°C<br><br><strong>EAN код Silikonspray 0,5L:</strong> 4014766072245";"";"Silikonspray";"";"";"silikonspray";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Silikonspray 500ml.jpg";"";"";""
"Elektrokontakt-Spray";"";"";"RUB";"";"1";"";"";"";"Не содержащий хлора и силикона аэрозоль на минеральной основе для чистки и технического ухода за электрическими контактами компонентами. Растворяет жиры, масла и влажную грязь.<br><br><strong>EAN код Elektrokontakt-Spray 0,2L:</strong> 4014766072375";"";"Elektrokontakt-Spray";"";"";"elektrokontakt-spray";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Elektrokontaktspray 200ml.jpg";"";"";""
