Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем
"Мебель детская";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Столы регулируемые по высоте со столешницами из ЛДСП";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"СДРп-11";"";"";"";"Цена: 1047 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРп-11 – на все случаи жизни</h2>
<p>Столы фигурные регулируемые по высоте СДРп-11 имеют форму полукруга, за счет чего очень удобны и компактны. Благодаря регулируемым по высоте ножкам вы также можете выбрать наиболее удобный уровень столешницы. В Екатеринбурге такие столы пользуются постоянной популярностью за счет своего универсального дизайна, который впишется в любой интерьер.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДР-12";"";"";"";"Цена: 1026 руб.";"";"";"";"";"<h2>Столы детские регулируемые по высоте СДР-12 – комфортный вариант для ребенка</h2>
<p>Столы детские регулируемые по высоте СДР-12 имеют продолговатую форму правильного прямоугольника. За таким столом можно разместить двоих деток, если он покупается для учебного учреждения или приобрести его для одного ребенка, который с комфортом сможет расположить на довольно большой рабочей поверхности все свои принадлежности. В Екатеринбурге на такие модели у нас наиболее доступные цены.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДРф-12";"";"";"";"Цена: 1462 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРф-12 – лучшее – детям</h2>
<p>Столы фигурные регулируемые по высоте СДРф-12 имеют очень необычную форму, которая очень понравится детям. За счет своей волнообразности этот стол кажется эдаким цветочком, располагая тем самым мальчиков и девочек с удовольствием заниматься за ним творчеством или пить чай с гостями. В Екатеринбурге оригинальную мебель для детской всегда можно купить у нас.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДР-8";"";"";"";"Цена: 1039 руб.";"";"";"";"";"<h2>Столы детские регулируемые по высоте СДР-8 – круглое совершенство</h2>
<p>Столы детские регулируемые по высоте СДР-8 – идеально круглые удобные столы. Только представьте, сколько всего можно разместить на такой площади – и карандаши, и краски, и пластилин, и даже конструктор. За таким столом приятно делать уроки, заниматься творчеством и играть. В Екатеринбурге вы можете заказать такой подарок своему ребенку на нашем сайте.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДРф-14";"";"";"";"Цена: 1765 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРф-14 – для ваших деток</h2>
<p>Столы фигурные регулируемые по высоте СДРф-14 привлекают не только своей оригинальной формой, но и возможностью регулировать уровень столешницы, что позволяет обеспечить удобное сидение за ним ребенка в любом возрасте. Предлагая вашему вниманию детскую мебель в Екатеринбурге, мы гарантируем высокое качество всех моделей и их доступную стоимость.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДР-6.3";"";"";"";"Цена: 974 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'><span style='font-size: small;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры</span></span></strong></p>";"";"";"";"";"";"";""
"СДРф-15";"";"";"";"Цена: 2105 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРф-15 – невообразимый дизайн</h2>
<p>Столы фигурные регулируемые по высоте СДРф-15 просто созданы для общения и проведения интересных уроков с детьми любого возраста. Форма подковы позволяет всем участникам занятия рассесться таким образом, чтобы одинаково хорошо видеть и слышать учителя во главе стола. В Екатеринбурге такие столы можно приобрести в нашем интернет-магазине.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДРф-7.3";"";"";"";"Цена: 846 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРф-7.3 – комфорт на высшем уровне</h2>
<p>Столы фигурные регулируемые по высоте СДРф-7.3 в форме полумесяца очень нравятся и мальчикам, и девочкам. Модель имеет безопасные скругленные углы, а выемка для комфортного расположения ребенка за столом обеспечивает дополнительное пространство поверхности по обе руки. Эта модель в Екатеринбурге пользуется повышенным спросом, ведь такая форма действительно очень удобна.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДРт-9";"";"";"";"Цена: 907 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРт-9 – противовес стандартным решениям</h2>
<p>Столы фигурные регулируемые по высоте СДРт-9 выполнены в необычной форме неправильного четырехугольника. Все не слишком строгое и не очень стандартное невероятно нравится детям, ведь это помогает ощутить внутреннюю свободу и возможность выйти за рамки обыденности. В Екатеринбурге такую оригинальную детскую мебель можно заказать у нас.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"СДРт-11";"";"";"";"Цена: 1002 руб.";"";"";"";"";"<h2>Столы фигурные регулируемые по высоте СДРт-11 – для любого интерьера</h2>
<p>Столы фигурные регулируемые по высоте СДРт-11 – с неправильной геометрией, позволяющей их обладателям проявлять свой творческий потенциал в полной мере. Благодаря уникальной форме таких моделей вы сможете воплотить в детской любые свои дизайнерские фантазии, и детский стол будет смотреться в любом интерьере вполне гармонично. Мы предлагаем на детскую мебель в Екатеринбурге лучшие цены.</p>
<p><strong><span style='color: #008000;'>Столешница из ЛДСП 16 мм., кромка пвх 2 мм., регулируемые по высоте опоры.</span></strong></p>";"";"";"";"";"";"";""
"!Столы регулируемые по высоте со столешницами из МДФ Возможные цвета: Оранж, Абрикос, Желтый, Розовый, Голубое небо, Лайм ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"СДР-12-МДФ";"";"";"";"Цена: 1524 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"Сдрп-11-МДФ";"";"";"";"Цена: 1645 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"Сдрт-9-МДФ";"";"";"";"Цена: 1270 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"Сдрт-11-МДФ";"";"";"";"Цена: 1518 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"СДрф-7.3-МДФ";"";"";"";"Цена: 1152 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"СДр-8-МДФ";"";"";"";"Цена: 1686 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"СДр-6.3-МДФ";"";"";"";"Цена: 1416 руб.";"";"";"";"";"";"";"";"";"";"";"";""
"!Стулья детские";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"СР №1-3";"";"";"";"Цена: 612 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Стул детский регулируемый по высоте. Каркас из металлической трубы квадратного сечения 15х15 мм., окраска полимерно - порошковая, в светло - серый цвет. Сидение и спика из гнуто - клееной фанеры, покрыты лаком, крепятся к каркасу на заклёпки.</strong> </span></p>";"";"";"";"";"";"";""
"СН №00";"";"";"";"Цена: 556 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Стул детский нерегулируемый по высоте. Каркас из металлической трубы квадратного сечения 15х15 мм., окраска полимерно - порошковая, в светло - серый цвет. Сидение и спика из гнуто - клееной фанеры, покрыты лаком, крепятся к каркасу на заклёпки.</strong> </span></p>";"";"";"";"";"";"";""
"СН №0";"";"";"";"Цена: 556 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Стул детский нерегулируемый по высоте. Каркас из металлической трубы квадратного сечения <span>15х15</span> мм., окраска полимерно - порошковая, в светло - серый цвет. Сидение и спика из гнуто - клееной фанеры, покрыты лаком, крепятся к каркасу на заклёпки.</strong> </span></p>";"";"";"";"";"";"";""
"СН №1";"";"";"";"Цена: 556 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Стул детский нерегулируемый по высоте. Каркас из металлической трубы квадратного сечения <span>15х15</span> мм., окраска полимерно - порошковая, в светло - серый цвет. Сидение и спика из гнуто - клееной фанеры, покрыты лаком, крепятся к каркасу на заклёпки.</strong> </span></p>";"";"";"";"";"";"";""
"!Шкафы для детской одежды на металлокаркасе и скамьи для одевания";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ШДм-1";"";"";"";"Цена: 1627 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 0.45 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"ШДм-2";"";"";"";"Цена: 2822 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 0.45 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"ШДм-3";"";"";"";"Цена: 3997 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 0.45 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"ШДм-4";"";"";"";"Цена: 5045 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 0.45 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"ШДм-5";"";"";"";"Цена: 6179 руб.";"";"";"";"";"<p><span style='outline-style: none; outline-color: invert; outline-width: medium; color: #008000;'><strong><span style='font-size: small;'>ЛДСП 16 мм., кромка ПВХ 0.45 мм.<span> </span><span style='outline-style: none; outline-color: invert; outline-width: medium; color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></span></p>";"";"";"";"";"";"";""
"СкД-1";"";"";"";"Цена: 869 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 2 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"СкД-2";"";"";"";"Цена: 955 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>ЛДСП 16 мм., кромка ПВХ 2 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></span></strong></p>";"";"";"";"";"";"";""
"!Шкафы для горшков, вешалки для полотенец";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ШГ-12";"";"";"";"Цена: 2165 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>Шкаф для горшков на 12 мест. ЛДСП 16 мм., кромка ПВХ 0.45 мм. </span></strong></p>";"";"";"";"";"";"";""
"ШГ-20";"";"";"";"Цена: 3432 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>Шкаф для горшков на 20 мест. ЛДСП 16 мм., кромка ПВХ 0.45 мм. </span></strong></p>";"";"";"";"";"";"";""
"ШП-11";"";"";"";"Цена: 1297 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Вешалка для полотенец напольная. ЛДСП 16 мм., кромка ПВХ 0.45 мм.</strong></span><a href='../../../colors'></a></p>";"";"";"";"";"";"";""
"ШП-8";"";"";"";"Цена: 1294 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Вешалка для полотенец настенная. ЛДСП 16 мм., кромка ПВХ 0.45 мм.</strong></span></p>";"";"";"";"";"";"";""
"!Шкафы для игрушек 'Сундук'";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"СИ-1";"";"";"";"Цена: 1613 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>ЛДСП 16 мм., кромка ПВХ 0.45 мм.</strong></span></p>";"";"";"";"";"";"";""
"СИ-2";"";"";"";"Цена: 1606 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>ЛДСП 16 мм., кромка ПВХ 0.45 мм.</strong></span></p>";"";"";"";"";"";"";""
"СИ-3";"";"";"";"Цена: 1730 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>ЛДСП 16 мм., кромка ПВХ 0.45 мм.</strong></span></p>";"";"";"";"";"";"";""
"!Кровати детские на опорах из ЛДСП и Металлокаркасе";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"КДл-14";"";"";"";"Цена: 1596 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Кровать детская на опорах из ЛДСП. ЛДСП 16 мм., кромка ПВХ 2 мм.</strong></span></p>";"";"";"";"";"";"";""
"КДл-16";"";"";"";"Цена: 1707 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Кровать детская на опорах из ЛДСП. ЛДСП 16 мм., кромка ПВХ 2 мм.</strong></span></p>";"";"";"";"";"";"";""
"КДм-14";"";"";"";"Цена: 1856 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Кровать детская на металлокаркасе. ЛДСП 16 мм., кромка ПВХ 2 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></strong></span></p>";"";"";"";"";"";"";""
"КДм-16";"";"";"";"Цена: 1947 руб.";"";"";"";"";"<p><span style='color: #008000;'><strong>Кровать детская на металлокаркасе. ЛДСП 16 мм., кромка ПВХ 2 мм. <span style='color: #008000;'>Каркас из металлической трубы квадратного сечения 20х20 мм., окраска полимерно - порошковая, в светло - серый цвет.</span></strong></span></p>";"";"";"";"";"";"";""
"!Кровати 2-х, 3-х ярусные раздвижные";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"КД-2.16";"";"";"";"Цена: 2574 руб.";"";"";"";"";"<p><span style='font-size: small;'><span style='color: #008000;'><strong>Кровать детская 2-х ярусная, раздвижная. Изготавливается из ЛДСП 16 мм, с кромкой ПВХ 0,45 мм. Комплектуется системой выкатных роликов.</strong></span></span></p>";"";"";"";"";"";"";""
"КД-3.16";"";"";"";"Цена: 4362 руб.";"";"";"";"";"<p><strong><span style='color: #008000;'>Кровать детская 3-х ярусная, раздвижная. Изготавливается из ЛДСП 16 мм, с кромкой ПВХ 0,45 мм. Комплектуется системой выкатных роликов.</span></strong></p>";"";"";"";"";"";"";""
