Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!GeoCont";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Технология";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Ядыкина С.А. Интеллектуально-логическое развитие детей дошкольного возраста: программа-руководство Центра интеллектуальных игр. – СПб., 2013. – 32 с.";"";"";"RUB";"230";"1";"";"";"";"Программа-руководство для центров развития детей, в которой изложено содержание интеллектуально-логического развития дошкольников, представлена система занятий по возрастным группам.Возраст: любой";"";"Ядыкина С.А. Интеллектуально-логическое развитие детей дошкольного возраста: программа-руководство Центра интеллектуальных игр. – СПб., 2013. – 32 с.";"";"";"yadykina-sa-intellektualno-logicheskoe-razvitie-detey-doshkolnogo-vozrasta-programma-rukovodstvo-tsentra-intellektualnykh-igr--spb-2013--32-s-gek-1046115113";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_02_24/e70779e7-d595-45e6-8eb6-da7f617fe27e.png"
"Сказочные лабиринты игры. Игровая технология интеллектуально-творческого развития детей. Воскобович В.В., Мёдова Н.А., Файзуллаева Е.Д. и др.";"";"";"RUB";"380";"1";"";"";"";"Возраст: любой";"";"Сказочные лабиринты игры. Игровая технология интеллектуально-творческого развития детей. Воскобович В.В., Мёдова Н.А., Файзуллаева Е.Д. и др.";"";"";"skazochnye-labirinty-igry-igrovaya-tekhnologiya-intellektualno-tvorcheskogo-razvitiya-detey-voskobovich-vv-mёdova-na-fayzullaeva-ed-i-dr-gek-2121377198";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_03_21/3fdea34b-6b8c-4158-8f36-394568b12a89.jpg"
"Развивающие игры В.В. Воскобовича в работе с детьми дошкольного и младшего школьного возраста: Материалы III-й Всероссийской научно-практической конференции с международным участием / Под ред. В.В. Воскобовича, Л.С. Вакуленко, О.М. Вотиновой. – СПб.,";"";"";"RUB";"490";"1";"";"";"";"Сборник материалов по итогам конференции (г.Санкт-Петербург). Опыт работы педагогов России, Казахстана, Беларуси. Статьи и конспекты готовых занятий.Возраст: любой";"";"Развивающие игры В.В. Воскобовича в работе с детьми дошкольного и младшего школьного возраста: Материалы III-й Всероссийской научно-практической конференции с международным участием / Под ред. В.В. Воскобовича, Л.С. Вакуленко, О.М. Вотиновой. – СПб.,";"";"";"razvivayushchie-igry-vv-voskobovicha-v-rabote-s-detmi-doshkolnogo-i-mladshego-shkolnogo-vozrasta-materialy-iii-y-vserossiyskoy-nauchno-prakticheskoy-konferentsii-s-mezhdunarodnym-uchastiem--pod-red-vv-voskobovicha-ls-vakulenko-om-votinovoy--spb-gek-2116147306";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/90ecc0a4-c82c-4ff9-a5fd-3749ff15dab2.png"
"Развивающие игры В.В. Воскобовича  в работе с детьми дошкольного и младшего школьного возраста: Материалы I-й Всероссийской научно-практической конференции с международным участием / Под ред. В.В. Воскобовича, Л.С. Вакуленко. – СПб., 2013. – 148 с.";"";"";"RUB";"440";"1";"";"";"";"Сборник материалов по итогам конференции (г.Санкт-Петербург). Опыт работы педагогов России, Казахстана, Беларуси. Статьи и конспекты готовых занятий.Возраст: любой";"";"Развивающие игры В.В. Воскобовича  в работе с детьми дошкольного и младшего школьного возраста: Материалы I-й Всероссийской научно-практической конференции с международным участием / Под ред. В.В. Воскобовича, Л.С. Вакуленко. – СПб., 2013. – 148 с.";"";"";"razvivayushchie-igry-vv-voskobovicha--v-rabote-s-detmi-doshkolnogo-i-mladshego-shkolnogo-vozrasta-materialy-i-y-vserossiyskoy-nauchno-prakticheskoy-konferentsii-s-mezhdunarodnym-uchastiem--pod-red-vv-voskobovicha-ls-vakulenko--spb-2013--148-s-gek-543792748";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/46f917f2-e429-451d-876b-f01a0a6e6ad2.png"
"Развивающие игры В.В. Воскобовича  в работе с детьми дошкольного и младшего школьного возраста'. Материалы II-й Всероссийской научно-практической конференции с международным участием / Под ред. Л.С. Вакуленко, В.В. Воскобовича. – СПб., 2014. – 172 с.";"";"";"RUB";"440";"1";"";"";"";"Сборник материалов по итогам конференции (г.Хабаровск). Опыт работы педагогов России, Казахстана, Беларуси. Статьи и конспекты готовых занятий.Возраст: любой";"";"Развивающие игры В.В. Воскобовича  в работе с детьми дошкольного и младшего школьного возраста'. Материалы II-й Всероссийской научно-практической конференции с международным участием / Под ред. Л.С. Вакуленко, В.В. Воскобовича. – СПб., 2014. – 172 с.";"";"";"razvivayushchie-igry-vv-voskobovicha--v-rabote-s-detmi-doshkolnogo-i-mladshego-shkolnogo-vozrasta-materialy-ii-y-vserossiyskoy-nauchno-prakticheskoy-konferentsii-s-mezhdunarodnym-uchastiem--pod-red-ls-vakulenko-vv-voskobovicha--spb-2014--172-s-gek-1933372112";"";"";"";"";"";"";"http://www.geokont.ru/images/2016_01_22/620b4c77-a930-4bdf-98df-5119f756c90d.png"
"Развивалка.ру. Дополнительная общеразвивающая программа. Панфилова Э.Н.";"";"";"RUB";"200";"1";"";"";"";"Возраст: любой";"";"Развивалка.ру. Дополнительная общеразвивающая программа. Панфилова Э.Н.";"";"";"razvivalkaru-dopolnitelnaya-obshcherazvivayushchaya-programma-panfilova-en-gek-1113429049";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_03_21/d2f78e60-f96d-493c-b088-c81eeed17c8a.jpg"
"Познавательно-творческое развитие дошкольников в игровой интегрированной деятельности. Белова Т.В., Строгонова А.В., Чибрикова И.А.";"";"";"RUB";"200";"1";"";"";"";"Возраст: любой";"";"Познавательно-творческое развитие дошкольников в игровой интегрированной деятельности. Белова Т.В., Строгонова А.В., Чибрикова И.А.";"";"";"poznavatelno-tvorcheskoe-razvitie-doshkolnikov-v-igrovoy-integrirovannoy-deyatelnosti-belova-tv-strogonova-av-chibrikova-ia-gek-162857218";"";"";"";"";"";"";"http://www.geokont.ru/images/2017_03_21/b18777f5-d461-4d8d-8322-8b5313f94cbc.jpg"
