Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"Temporary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Gratwest";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Опыты Bondibon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Французские опыты Науки с Буки Bondibon (6 экспериментов)  Собери сам 6 в 1,  арт.  EL315";"";"ВВ0988";"RUB";"706.80";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/8gKTR15PtgI?list=PL7IgAu-GiRDAkKB7J4pWnJikf735gaJ2V' frameborder='0' allowfullscreen=''></iframe>
<br>
Для юных робототехников и просто любознательных детей будет очень интересен этот комплект из различных деталей для конструирования.  Скучно не будет, ведь можно выбрать для сборки один из шести различных видов аппаратов, работающих на солнечной энергии. 
Выберите модель, соберите двигатель и основную конструкцию, удостоверьтесь, что солнечной батарее хватает света и… Наблюдайте как аппарат начинает свое самостоятельное движение! 
Аппараты на солнечной батарее: Робот, велосипед, ветряная мельница, самолет, вертолет, аэроглиссер.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon (6 экспериментов)  Собери сам 6 в 1, арт. EL315</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon (6 экспериментов)  Собери сам 6 в 1,  арт.  EL315";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-6-eksperimentov--soberi-sam-6-v-1--art--el315vv0988";"";"";"18x7x21";"";"";"";"http://www.gratwest.ru/linkpics/081/081982_2.jpg";"http://www.gratwest.ru/linkpics/081/081982_3b.jpg";"http://www.gratwest.ru/linkpics/081/081982_4b.jpg";""
"Французские опыты Науки с Буки Bondibon Брахиозавр,  арт. 550453-3";"";"ВВ1072";"RUB";"572.40";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/LQMQiqRv_Q8?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<br>
Узнавать интересные факты о полезных ископаемых и самому обнаружить динозавра можно в любом возрасте. Даже самые маленькие могут почувствовать себя палеонтологами, изучающими древний мир, с набором для проведения палеонтологических раскопок. 
Используя набор настоящих инструментов палеонтолога, ребенок сможет самостоятельно найти скелет самого древнего животного на Земле, очистить его от вековой пыли, а затем собрать реалистичную 3D-модель динозавра! 
Даже если с первого раза все получится неидеально, ничего страшного. Подробная инструкция покажет, как собранный скелет можно использовать для повторной игры. 
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon Брахиозавр, арт.550453-3</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon Брахиозавр,  арт. 550453-3";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-brakhiozavr--art-550453-3vv1072";"";"";"19x6x22.5";"";"";"";"http://www.gratwest.ru/linkpics/091/091965_2.jpg";"http://www.gratwest.ru/linkpics/091/091965_3b.jpg";"";""
"Французские опыты Науки с Буки Bondibon Трицератопс арт. 550453";"";"ВВ0965";"RUB";"577.80";"1";"";"";"";"<iframe width='560' height='315' src='//www.youtube.com/embed/LQMQiqRv_Q8?list=UU4nbomaywgl4zsosYIuixHA' frameborder='0' allowfullscreen=''></iframe>
<br>
Узнавать интересные факты о полезных ископаемых и самому обнаружить динозавра можно в любом возрасте. Даже самые маленькие могут почувствовать себя палеонтологами, изучающими древний мир, с набором для проведения палеонтологических раскопок. 
Используя набор настоящих инструментов палеонтолога, ребенок сможет самостоятельно найти скелет самого древнего животного на Земле, очистить его от вековой пыли, а затем собрать реалистичную 3D-модель динозавра! 
Даже если с первого раза все получится неидеально, ничего страшного. Подробная инструкция покажет, как собранный скелет можно использовать для повторной игры. 
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon Трицератопс арт.550453</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon Трицератопс арт. 550453";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon-tritseratops-art-550453vv0965";"";"";"19x5.5x22";"";"";"";"http://www.gratwest.ru/linkpics/080/080000_2.jpg";"http://www.gratwest.ru/linkpics/080/080000_3b.jpg";"http://www.gratwest.ru/linkpics/080/080000_4b.jpg";"http://www.gratwest.ru/linkpics/080/080000_5b.jpg"
"Французские опыты Науки с Буки BONDIBON,  Водные эксперименты,  арт 7030";"";"ВВ1150";"RUB";"1296.00";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/yvOLgmdk9Sk' frameborder='0' allowfullscreen=''></iframe>
<br>
Вода – основа всего живого на Земле. Неудивительно, что водная стихия так притягивает детей. Изучить свойства воды дошкольнику поможет набор «Водные эксперименты». С помощью занимательных опытов ребенок получит наглядные представления о том, что такое сообщающиеся сосуды, поверхностное натяжение, плотность и давление воды, узнает о таких физических понятиях, как плавучесть и равновесие. 
Необычайно интересно запускать игрушечный кораблик с парусом и наблюдать, как под действием струи воздуха он начинает движение! Еще интереснее показывать друзьям, что бумажная салфетка, побывавшая в емкости с водой, остается сухой, а вода из перевернутого стакана не выливается! Такие веселые «фокусы» можно проделывать даже во время домашних праздников, развлекая гостей занятными экспериментами.

			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки BONDIBON, Водные эксперименты, арт 7030</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки BONDIBON,  Водные эксперименты,  арт 7030";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--vodnye-eksperimenty--art-7030vv1150";"";"";"27x6.5x24";"";"";"";"http://www.gratwest.ru/linkpics/095/095822_2.jpg";"http://www.gratwest.ru/linkpics/095/095822_3b.jpg";"http://www.gratwest.ru/linkpics/095/095822_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Шоколадная фабрика (мал) арт.  7066EU";"";"ВВ1160";"RUB";"1297.20";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/2UV7pQvLIfg' frameborder='0' allowfullscreen=''></iframe>
<br>
Какой ребенок не любит шоколад и не мечтает о собственной шоколадной фабрике? Теперь это стало возможным: набор «Шоколадная фабрика» с 15-ю замечательных кулинарных экспериментов создан специально для юных кондитеров и сладкоежек! Они смогут прямо на собственной домашней кухне самостоятельно приготовить свои любимые шоколадные конфеты, монеты, медальоны, горячие питательные напитки и даже большие шоколадные плитки! Такое великолепное угощение не сравнить с магазинным, оно приятно удивит и родителей юного кондитера, и его гостей. А если пригласить друзей, чтобы вместе приготовить сладкие лакомства, то приятная работа превратится в увлекательную и веселую игру. 
Домашняя «Шоколадная фабрика» позволит ребенку в любое время побаловать себя любимым шоколадом и угостить родителей, друзей и всех тех, кто придет к нему в гости!
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Шоколадная фабрика (мал) арт. 7066EU</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Шоколадная фабрика (мал) арт.  7066EU";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--shokoladnaya-fabrika-mal-art--7066euvv1160";"";"";"30.5x8x30";"";"";"";"http://www.gratwest.ru/linkpics/095/095839_2.jpg";"http://www.gratwest.ru/linkpics/095/095839_3b.jpg";"http://www.gratwest.ru/linkpics/095/095839_4b.jpg";""
"Французские опыты Науки с Буки,  BONDIBON,  Лаборатория вулканов,  арт.  WS/65";"";"ВВ1124";"RUB";"1034.40";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/Dq-INgYhmr4' frameborder='0' allowfullscreen=''></iframe>
<br>
Человека издавна интересовало: откуда на Земле берутся вулканы, и что происходит при их извержении? Каков состав и температура вулканической лавы? На все эти вопросы легко найти ответы в научно-познавательном наборе «Лаборатория вулканов». Теперь у каждого ребенка может быть свой собственный остров с настоящим вулканом, который он сможет «оживить» самостоятельно! Наблюдать извержение лавы так интересно – особенно, если делать это в компании друзей!
В процессе игры юный вулканолог узнает много интересного о недрах нашей планеты, о том, как и почему происходит процесс извержения вулкана. Это поможет ему легко и увлекательно получать знания в области физики и химии, расширить собственные представления о таком захватывающем природном явлении, как извержение вулкана.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки, BONDIBON, Лаборатория вулканов, арт. WS/65</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки,  BONDIBON,  Лаборатория вулканов,  арт.  WS/65";"";"";"frantsuzskie-opyty-nauki-s-buki--bondibon--laboratoriya-vulkanov--art--ws65vv1124";"";"";"27x7x27";"";"";"";"http://www.gratwest.ru/linkpics/095/095407_2.jpg";"http://www.gratwest.ru/linkpics/095/095407_3b.jpg";"http://www.gratwest.ru/linkpics/095/095407_4b.jpg";""
"Французские опыты Науки с Буки Bondibon,  Лампа из лавы ,  арт.  WS/99L";"";"ВВ1654";"RUB";"965.40";"1";"";"";"";"<iframe width='560' height='315' src='https://www.youtube.com/embed/M3A_KR2W9r0' frameborder='0' allowfullscreen=''></iframe>
<br>
Этот набор позволит не только создать замечательный аксессуар и предмет интерьера – лава лампу, но и позволит разобраться в химических реакциях, которые происходят во время работы такой лампы. Также ребята смогут узнать, что такое плотность, и как она влияет на взаимодействие между собой различных жидкостей, и создать шипящие диски и трубку с блестками, которая сможет стать аналагом диско-шара! В состав набора входят светодиодная лампочка, квадрат двустороннего скотча, круг из фольги, круг из черной пены, блестки, трубка, заполненная 25мл глицерина (глицериновый раствор), подставка для трубки и крышка, 20гр бикарбоната натрия, 20гр лимонной кислоты, колба на 30мл,  2 ложечки, жидкий красный краситель, форма для шипящего диска, емкость для лампы из лавы (100мл), подставка и крышка для лампы из лавы, пипетка, инструкция.
			<tr>
								<td class='catalog-detail-desc'>
											<span itemprop='description'>Французские опыты Науки с Буки Bondibon, Лампа из лавы , арт. WS/99L</span>
						<div class='catalog-detail-line'></div>
														</td>
			</tr>";"";"Французские опыты Науки с Буки Bondibon,  Лампа из лавы ,  арт.  WS/99L";"";"";"frantsuzskie-opyty-nauki-s-buki-bondibon--lampa-iz-lavy---art--ws99lvv1654";"";"";"27.5x7x27";"";"";"";"http://www.gratwest.ru/linkpics/111/111381_2.jpg";"http://www.gratwest.ru/linkpics/111/111381_3b.jpg";"http://www.gratwest.ru/linkpics/111/111381_4b.jpg";""
