Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!IgrRu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!'ИГРАЕМ ВМЕСТЕ' ЖЕЛЕЗНЫЕ ДОРОГИ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТОВАРНЫЙ ПОЕЗД РЖД' НА БАТ. СВЕТ+ЗВУК, 290СМ В КОР. в кор.12шт";"";"SBT-9654-01";"RUB";"1650,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТОВАРНЫЙ ПОЕЗД РЖД' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТОВАРНЫЙ ПОЕЗД РЖД' НА БАТ. СВЕТ+ЗВУК 4 ФРАЗЫ,  СВЕТ ПРОЖЕКТОРА 290СМ В КОР. в кор.12шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТОВАРНЫЙ ПОЕЗД РЖД' НА БАТ. СВЕТ+ЗВУК, 290СМ В КОР. в кор.12шт";"";"";"zheleznaya-doroga-igraem-vmeste-tovarnyy-poezd-rzhd-na-bat-svetzvuk-290sm-v-kor-v-kor12sht-sbt-1399581863";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/190176_c.jpg";"http://img.simba-trade.ru/site1/a190176_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТРАМВАЙ' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 416СМ В РУСС. КОР. в кор.12шт";"";"SBT-9664T-SB";"RUB";"2050,00";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТРАМВАЙ' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТРАМВАЙ' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 416СМ В РУСС. КОР. в кор.12шт С этим замечательным набором ваш ребенок сможет почувствовать себя не только водителем трамвая, но даже директором трамвайного депо! Скорее собирай рельсы, переводи стрелки, прицепляй вагоны и в путь! Трамвай состоит из 2 вагонов. Фары первого вагона светятся при движении. При нажатии на кнопку наверху вагона раздаются объявления водителя: 'Уважаемые пассажиры, наш трамвай следует по маршруту 'Университет' - 'Улица Пушкина'; 'Осторожно, двери закрываются, следующая остановка - 'Школа' и т.д.Дети придут в восторг от такого большого и функционального набора, кроме того, с помощью этой игрушки, можно объяснить ребенку правила поведения в общественном транспорте и проиграть ситуации, которые могут произойти с малышом, когда он куда - либо поедет самостоятельно. Трамвай работает от 2 батареек типа АА (не входят в комплект).";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ТРАМВАЙ' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 416СМ В РУСС. КОР. в кор.12шт";"";"";"zheleznaya-doroga-igraem-vmeste-tramvay-na-bat-svetzvuk-dlina-416sm-v-russ-kor-v-kor12sht-sbt-1994626160";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/192777_c.jpg";"http://img.simba-trade.ru/site1/a192777_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"САПСАН 'ИГРАЕМ ВМЕСТЕ' Р/У ОЗВУЧ., РУССИФИЦ. В РУСС. КОР. 45*7*13СМ в кор.2*24шт";"";"SBT-B921692-R1";"RUB";"1048,96";"1";"";"";"САПСАН 'ИГРАЕМ ВМЕСТЕ' Р/У ОЗВУЧ";"САПСАН 'ИГРАЕМ ВМЕСТЕ' Р/У ОЗВУЧ., РУССИФИЦ. В РУСС. КОР. 45*7*13СМ в кор.2*24шт Радиоуправляемый поезд 'Сапсан' - это игрушечная модель локомотива реально существующего поезда. Его прототип курсирует по железным дорогам России. А уменьшенную копию на радиоуправлении можно запускать у себя дома. Послушная игрушка выполняет все команды, которые ей посылают посредством пульта дистанционного управления, в частности, ездит вперед, назад, вправо и влево. Для полного сходства с реальным 'Сапсаном' в арсенале модели есть возможность воспроизводить объявления, во время поездки слышится звук движущегося поезда, предусмотрены также световые эффекты. Работает от батареек (в комплект не входят).";"";"САПСАН 'ИГРАЕМ ВМЕСТЕ' Р/У ОЗВУЧ., РУССИФИЦ. В РУСС. КОР. 45*7*13СМ в кор.2*24шт";"";"";"sapsan-igraem-vmeste-ru-ozvuch-russifits-v-russ-kor-45713sm-v-kor224sht-sbt-812784331";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/196714_c.jpg";"http://img.simba-trade.ru/site1/a196714_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК 2406 В РУСС. КОР. 52*32СМ в кор.18шт";"";"SBT-B136434-R";"RUB";"2452,73";"1";"";"";"<p><b>Железная дорога «Играем вместе» «Красная стрела»</b></p><p>Отправляйтесь с малышом в далёкие странствия по протяжённой железной дороге, которая простирается почти по всей детской";"<p><b>Железная дорога «Играем вместе» «Красная стрела»</b></p><p>Отправляйтесь с малышом в далёкие странствия по протяжённой железной дороге, которая простирается почти по всей детской. Управлять целым поездом интересно и почётно, и ваш ребёнок сможет почувствовать себя настоящим машинистом «Красной стрелы». </p><p><br></p><p>В комплект входят:</p><p>• Локомотив</p><p>• Пульт управления</p><p>• Вагон с углём</p><p>• Пассажирские вагоны</p><p>• Элементы путей</p><p>• Элементы дорожного полотна</p><p>• Деревья</p><p><br></p><p>Спецэффекты:</p><p>1. Настоящий дым</p><p>2. Звук движения поезда</p><p>3. Свет прожектора</p><p>Игра позволит ребёнку представить себя в роли машиниста, отправляющего поезд со станции, и ближе познакомит его со взрослым миром. Он поймёт устройство локомотива, железной дороги и сможет изучить их более детально.</p><p><br></p><p>Дополнительные характеристики:</p><p>• Размеры коробки: 52×32×10 см</p><p>• Работает от сети 220 В</p><p>• Длина полотна — 266 см</p><p>• Две полосы движения </p><p>Работает от батареек типа AA (не входят в комплект)</p><p>Возраст: от 3 лет </p>";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК 2406 В РУСС. КОР. 52*32СМ в кор.18шт";"";"";"zheleznaya-doroga-igraem-vmeste-krasnaya-strela-ru-svetzvuk-2406-v-russ-kor-5232sm-v-kor18sht-sbt-63671871";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/180004_c.jpg";"http://img.simba-trade.ru/site1/a180004_c.jpg";"http://img.simba-trade.ru/site1/b180004_c.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК В РУСС. КОР. 44*7*32СМ в кор.2*9шт";"";"SBT-B757039-R";"RUB";"1347,75";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК В РУСС";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК В РУСС. КОР. 44*7*32СМ в кор.2*9шт Наверняка, каждый мальчик мечтал попробовать себя в роли машиниста и научиться управлять настоящим поездом. Железная дорога на радиоуправлении 'Красная Стрела' позволит мальчику собрать рельсовое полотно длиной 420 см, по которому поедет поезд 'Красная Стрела'. Поезд с надписью 'Экспресс' состоит из локомотива и вагонов, издает звук приближающегося состава и имеет горящий прожектор. С несложным принципом радиоуправления справится любой ребенок, а интересные звуковые и световые эффекты добавят игре реалистичность. Работает от батареек типа АА (не входят в комплект).";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'КРАСНАЯ СТРЕЛА' Р/У СВЕТ+ЗВУК В РУСС. КОР. 44*7*32СМ в кор.2*9шт";"";"";"zheleznaya-doroga-igraem-vmeste-krasnaya-strela-ru-svetzvuk-v-russ-kor-44732sm-v-kor29sht-sbt-1010164940";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/199213_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 280СМ В КОР. 20,5*46,5*4СМ в кор.2*18шт";"";"SBT-B806132-R";"RUB";"719,28";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, С АКСЕСС., ДЛИНА ПОЛОТНА 280СМ В РУСС. КОР. 20,5*46,5*4СМ в кор.2*18шт";"";"ЖЕЛЕЗНАЯ ДОРОГА РЖД 'ИГРАЕМ ВМЕСТЕ' НА БАТ. СВЕТ+ЗВУК, ДЛИНА 280СМ В КОР. 20,5*46,5*4СМ в кор.2*18шт";"";"";"zheleznaya-doroga-rzhd-igraem-vmeste-na-bat-svetzvuk-dlina-280sm-v-kor-2054654sm-v-kor218sht-sbt-230595423";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/212681_c.jpg";"http://img.simba-trade.ru/site1/a212681_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ПАРОВОЗИК ИЗ РОМАШКОВА' В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"SBT-B199134-R1";"RUB";"481,50";"1";"";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ПАРОВОЗИК ИЗ РОМАШКОВА' НА БАТ";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ПАРОВОЗИК ИЗ РОМАШКОВА' НА БАТ. С АКСЕСС. В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' 'ПАРОВОЗИК ИЗ РОМАШКОВА' В РУСС. КОР. 28*21*6СМ в кор.2*15шт";"";"";"zheleznaya-doroga-igraem-vmeste-parovozik-iz-romashkova-v-russ-kor-28216sm-v-kor215sht-sbt-1574704247";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/203634_c.jpg";"http://img.simba-trade.ru/site1/a203634_c.jpg";"http://img.simba-trade.ru/site1/b203634_c.jpg";"";"";"";"";"";"";"";"";"";"";"";""
