Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Бегемотик в полосатой маечке";"";"LVS-8668";"RUB";"249";"1";"499";"";"";"Издает звук «Лето» при нажатии на игрушку";"";"Бегемотик в полосатой маечке";"";"";"begemotik-v-polosatoy-maechke-lvs-8668";"";"";"Высота: 20,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/fd/60/fd60c93f7c96e7e90d54f13b0a7fd52f.jpg"
"Бегемот в цветных штанишках";"";"LVS-876";"RUB";"369";"1";"569";"";"";"Издает звук «Считалочка» при нажатии на игрушку";"";"Бегемот в цветных штанишках";"";"";"begemot-v-tsvetnykh-shtanishkakh-lvs-876";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b3/6b/b36b1a96187384721a2d73566a122115.jpg"
"Бегемот в жилетке";"";"LVS-307A";"RUB";"399";"1";"";"";"";"Издает звук «Радуга» при нажатии на игрушку";"";"Бегемот в жилетке";"";"";"begemot-v-zhiletke-lvs-307a";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/88/6b/886b7090158c6e7291b1ef9eeeba3444.jpg"
"!!Белки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Бельчонок-малыш";"";"LVS-964";"RUB";"269";"1";"499";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Бельчонок-малыш";"";"";"belchonok-malysh-lvs-964";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d8/0b/d80bef60d9828145c39badcdd0d1e3e7.jpg"
"Бельчонок";"";"LVS-8754";"RUB";"299";"1";"";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Бельчонок";"";"";"belchonok-lvs-8754";"";"";"Высота: 16,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/67/45/6745d12771b53b3d845610937e9b00b2.jpg"
"Белочка Тутти";"";"LVS-1226";"RUB";"169";"1";"339";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Белочка Тутти";"";"";"belochka-tutti-lvs-1226";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d0/a9/d0a945b4b110380c8ae4049d34de2682.jpg"
"Белочка";"";"LVS-8791";"RUB";"219";"1";"419";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Белочка";"";"";"belochka-lvs-8791";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c2/a3/c2a33b21c6ce49c1c474f8ecd8439044.jpg"
"Белка-девочка";"";"LVS-8650";"RUB";"269";"1";"399";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Белка-девочка";"";"";"belka-devochka-lvs-8650";"";"";"Высота: 17,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/91/28/91287fabc04b5171acf49fb09aadd7a6.jpg"
"Белка средняя";"";"LVS-289B";"RUB";"469";"1";"699";"";"";"Издает звук «Песня белочки» при нажатии на игрушку";"";"Белка средняя";"";"";"belka-srednyaya-lvs-289b";"";"";"Высота: 25,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c4/0a/c40a2844112fa5c1ff8b3f86df89caff.jpg"
"Белка малая";"";"LVS-289A";"RUB";"369";"1";"";"";"";"Издает звук «Загадка про белочку» при нажатии на игрушку";"";"Белка малая";"";"";"belka-malaya-lvs-289a";"";"";"Высота: 19,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/01/f6/01f63311540f7b8a051543030c083f51.jpg"
"!!Бобры";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Бобёр";"";"LVS-8084";"RUB";"199";"1";"399";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Бобёр";"";"";"bobёr-lvs-8084";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5a/a2/5aa26be41dea749d22aa0bf5691b75fe.jpg"
"!!Верблюды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Верблюжонок Диди";"";"LVS-1208";"RUB";"199";"1";"499";"";"";"Издает звук «Утренняя зарядка» при нажатии на игрушку";"";"Верблюжонок Диди";"";"";"verblyuzhonok-didi-lvs-1208";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/52/03/5203b8567fadb10bb803fb1a923df735.jpg"
"Верблюжонок";"";"LVS-8732";"RUB";"169";"1";"399";"";"";"Издает звук «Дождик, дождик, поливай» при нажатии на игрушку";"";"Верблюжонок";"";"";"verblyuzhonok-lvs-8732";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/45/5d/455da72494db54952ecf22785f548dcf.jpg"
