Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Temporary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Masteras";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Шумовые";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Хлопушка средняя";"";"т1-хл-02";"RUB";"887Р";"1";"";"";"";"";"";"Хлопушка средняя";"";"";"khlopushka-srednyaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-srednaya-t1-460x460.jpg"
"Хлопушка средняя";"";"к1-хл-02";"RUB";"1190Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая бич-хлопушка расписана Хохломской или Городецкой росписью руками профессиональных художников. Она состоит из двух деревянных пластин, скреплённых у основания прочным полимерным шнуром. На боковых сторонах пластин имеются небольшие ручки, за которые инструмент держат при ударах дощечек друг о друга. Звук у бич-хлопушки похож на щёлканье кнута: резкий и громкий.";"";"Хлопушка средняя";"";"";"khlopushka-srednyaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-srednaya-1k-460x460.jpg"
"Хлопушка малая";"";"т1-хл-01";"RUB";"702Р";"1";"";"";"";"";"";"Хлопушка малая";"";"";"khlopushka-malaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-t2-1-460x460.jpg"
"Хлопушка малая";"";"к1-хл-01";"RUB";"943Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая бич-хлопушка расписана Хохломской или Городецкой росписью руками профессиональных художников. Она состоит из двух деревянных пластин, скреплённых у основания прочным полимерным шнуром. На боковых сторонах пластин имеются небольшие ручки, за которые инструмент держат при ударах дощечек друг о друга. Звук у бич-хлопушки похож на щёлканье кнута: резкий и громкий.";"";"Хлопушка малая";"";"";"khlopushka-malaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-malaya-1k-460x460.jpg"
"Хлопушка большая";"";"т1-хл-03";"RUB";"1320Р";"1";"";"";"";"";"";"Хлопушка большая";"";"";"khlopushka-bolshaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-bolshaya-t1-460x460.jpg"
"Хлопушка большая";"";"к1-хл-03";"RUB";"1772Р";"1";"";"";"";"Русский народный шумовой инструмент. Материал — высококачественный, пропаренный и специально высушенный бук, дуб, клён. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая бич-хлопушка расписана Хохломской или Городецкой росписью руками профессиональных художников. Она состоит из двух деревянных пластин, скреплённых у основания прочным полимерным шнуром. На боковых сторонах пластин имеются небольшие ручки, за которые инструмент держат при ударах дощечек друг о друга. Звук у бич-хлопушки похож на щёлканье кнута: резкий и громкий.";"";"Хлопушка большая";"";"";"khlopushka-bolshaya";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-bolshaya-1k-460x460.jpg"
"Хлопушка";"";"су-хл-01";"RUB";"230Р";"1";"";"";"";"Хлопушка сувенирная";"";"Хлопушка";"";"";"khlopushka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-suvenir-460x460.jpg"
"Хлопушка";"";"кп-хл-01";"RUB";"192Р";"1";"";"";"";"Русский народный шумовой инструмент. Высокоточное оборудование и инновационные технологии, тестирование всех компонентов и многолетний опыт работы мастеров-музыкантов позволяет изготавливать эксклюзивные инструменты, которые порадуют вас прекрасным звучанием, надёжностью и продуманным дизайном. Каждая бич-хлопушка расписана Хохломской или Городецкой росписью руками профессиональных художников. Она состоит из двух деревянных пластин, скреплённых у основания прочным полимерным шнуром. На боковых сторонах пластин имеются небольшие ручки, за которые инструмент держат при ударах дощечек друг о друга. Звук у бич-хлопушки похож на щёлканье кнута: резкий и громкий.";"";"Хлопушка";"";"";"khlopushka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-karapuz-460x460.jpg"
"Хлопушка";"";"бр-хл-01";"RUB";"418Р";"1";"";"";"";"Хлопушка (ладошки) без росписи";"";"Хлопушка";"";"";"khlopushka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-br-460x460.jpg"
"Хлопушка";"";"т2-хл-01";"RUB";"462Р";"1";"";"";"";"";"";"Хлопушка";"";"";"khlopushka";"";"";"";"https://masteras.ru/wp-content/uploads/2015/11/hlopushka-t2-460x460.jpg"
