Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Оксва-тм";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Игры Б.П. Никитина";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сложи узор (Корвет)";"";"OKS";"RUB";"430.00";"1";"";"";"";"Размер грани кубика 4 см.";"";"Сложи узор (Корвет)";"";"";"slozhi-uzor-korvet-oks-20835316";"";"";"17 cm × 17 cm × 4 cm";"";"";"Пластмасса";"http://oksva-tm.ru/sites/default/files/styles/large/public/2_1.jpg?itok=M8uwGzDZ"
"Уникуб (в картонной коробке) Корвет";"";"OKS";"RUB";"530.00";"1";"";"";"";"Прозрачная полиэтиленовая сумочка на молнии содержит набор из 27-ми пластмассовых кубиков с ребром 40 мм, с разноцветными гранями и красочно оформленными методическими рекомендациями по использованию игрового материала. Универсальные кубики вводят ребенка в мир трехмерного пространства. Общеизвестно, что раннее развитие пространственного мышления делает ребенка сильнее интеллектуально. “Уникуб” может стать и объектом соревнования, и объектом исследования его богатейшего математического содержания. Игра великолепно учит точности, аккуратности, предусмотрительности.";"";"Уникуб (в картонной коробке) Корвет";"";"";"unikub-v-kartonnoy-korobke-korvet-oks-914865443";"";"";"13 cm × 13 cm × 13 cm";"";"";"Пластмасса";"http://oksva-tm.ru/sites/default/files/styles/large/public/24.jpg?itok=faH0kiyV"
"Уни куб класс элит";"";"OKS";"RUB";"780.00";"1";"";"";"";"Детская развивающая игра 'Уникуб '. Состав игрового материала. Нарядная коробка содержит набор из 27-ми деревянных кубиков с разноцветными гранями и красочно оформленные методические рекомендации по использованию игрового материала. Что развивает? Универсальные кубики вводят ребенка в мир трехмерного пространства. Общеизвестно, что раннее развитие пространственного мышления делает ребенка сильнее интеллектуально. “Уникуб” может стать и объектом соревнования, и объектом исследования его богатейшего математического содержания. Игра великолепно учит точности, аккуратности, предусмотрительности.";"";"Уни куб класс элит";"";"";"uni-kub-klass-elit-oks-78652286";"";"";"12 cm × 12 cm × 12 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_0174.jpg?itok=ga7Uvv48"
"Уни-куб класс эконом";"";"OKS";"RUB";"621.00";"1";"";"";"";"Детская развивающая игра 'Уникуб'. Состав игрового материала. Сумочка из прозрачного материала содержит набор из 27-ми деревянных кубиков с разноцветными гранями и красочно оформленные методические рекомендации по использованию игрового материала. Что развивает? Универсальные кубики вводят ребенка в мир трехмерного пространства. Общеизвестно, что раннее развитие пространственного мышления делает ребенка сильнее интеллектуально. “Уникуб” может стать и объектом соревнования, и объектом исследования его богатейшего математического содержания. Игра великолепно учит точности, аккуратности, предусмотрительности.";"";"Уни-куб класс эконом";"";"";"uni-kub-klass-ekonom-oks-656495069";"";"";"10 cm × 10 cm × 10 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/DSC_0174_0_0.jpg?itok=gVnYXZd3"
"Чудо-куб класс элит";"";"OKS";"RUB";"691.00";"1";"";"";"";"Развивающая игра 'чудокуб'. Цель игры: способствует развитию сообразительности, попутно развивает усидчивость, самостоятельность мышления, умение сосредоточиться и мыслить пространственными образами. Состав игры: Семь разных объемных фигурок, имеющих различную окраску. Правила игры очень просты. Положив перед собой рисунок задания, постройте из фигурок точно такую же модель, как нарисована. Построив одну, переходите к следующей, более сложной. При этом приходится решать две задачи одновременно: во-первых, выбрать из 7-ми фигурок только те, которые необходимы для построения данной модели; во-вторых, придать этим фигуркам то положение, которое они занимают в модели. Фигурки для игры обладают огромными возможностями разнообразных сочетаний и позволяют составлять громадное количество различных моделей или разных вариантов одной и той же модели. Например, уложить все семь фигурок в куб можно несколькими десятками способов. Игра 'Кубики для всех' не только приятное времяпровождение. Она чрезвычайно полезна для развития творческих способностей детей.";"";"Чудо-куб класс элит";"";"";"chudo-kub-klass-elit-oks-738020092";"";"";"12 cm × 12 cm × 12 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/40.jpg?itok=C_URGeot"
"Чудо-куб класс эконом";"";"OKS";"RUB";"549.00";"1";"";"";"";"Развивающая игра 'чудокуб'. Цель игры: способствует развитию сообразительности, попутно развивает усидчивость, самостоятельность мышления, умение сосредоточиться и  мыслить пространственными образами. Состав игры: Семь разных объемных   фигурок, имеющих различную окраску.   Правила игры очень просты. Положив перед собой рисунок задания, постройте из фигурок точно такую же модель, как нарисована. Построив одну, переходите к следующей, более сложной. При этом приходится решать две задачи одновременно: во-первых, выбрать из 7-ми фигурок только те, которые необходимы для построения данной модели; во-вторых, придать этим фигуркам то положение, которое они занимают в модели.  Фигурки для игры обладают огромными возможностями разнообразных сочетаний и позволяют составлять громадное количество различных моделей или разных вариантов одной и той же модели. Например, уложить все семь фигурок в куб можно несколькими десятками способов. Игра 'Кубики для всех' не только приятное времяпровождение. Она чрезвычайно полезна для развития творческих способностей детей.";"";"Чудо-куб класс эконом";"";"";"chudo-kub-klass-ekonom-oks-181645924";"";"";"10 cm × 10 cm × 10 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/%20%D0%9A%D1%83%D0%B1.JPG?itok=yzEBgHuz"
"Сложи узор класс Элит";"";"OKS";"RUB";"808.00";"1";"";"";"";"Детская развивающая игра 'Сложи узор '. Нарядная коробка с набором из 16 деревянных кубиков, окрашенных в 4 цвета. 4 грани покрашены в цвет целиком, а остальные 2 - по диагонали пополам. Игровой материал позволяет развить в ребенке умение выполнять задание по образцу, а также фантазию и творчество.";"";"Сложи узор класс Элит";"";"";"slozhi-uzor-klass-elit-oks-1978300525";"";"";"15 cm × 5 cm × 15 cm";"";"";"Дерево";"http://oksva-tm.ru/sites/default/files/styles/large/public/4_1.jpg?itok=qd_RlT8d"
