Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Распродажа";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Кресло (от комплекта мягкой мебели)";"";"12.1.1";"RUB";"1667";"1";"";"";"<p>
	<strong>В наличии 1 шт";"<p>
	<strong>В наличии 1 шт.</strong></p>
<hr>
<p>
	 </p>
<p>
	40*43*43</p>";"";"Кресло (от комплекта мягкой мебели)";"";"";"kreslo-ot-komplekta-myagkoy-mebeli";"";"";"http://www.pelikan-7.ru/image/cache/data/12/kreslo1-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стул ясельный";"";"5.3";"RUB";"791";"1";"";"";"<p>
	Количество на складе: 50 шт";"<p>
	Количество на складе: 50 шт.</p>
<p>
	После распродажи товар будет снят с производства!</p>
<p>
	Габариты: 30*25*18/22 см</p>
<div style='color: rgb(0, 0, 0); font-family: Tahoma;'>
	<font face='tahoma, arial, verdana, sans-serif'>Каркас - фанера 15 мм, </font></div>
<div style='color: rgb(0, 0, 0); font-family: Tahoma;'>
	<font face='tahoma, arial, verdana, sans-serif'>спинка и сиденье - фанера 10 мм, </font></div>
<div style='color: rgb(0, 0, 0); font-family: Tahoma;'>
	<font face='tahoma, arial, verdana, sans-serif'>покрытие - лак,</font></div>
<div style='color: rgb(0, 0, 0); font-family: Tahoma;'>
	 </div>
<div style='color: rgb(0, 0, 0); font-family: Tahoma;'>
	<font face='tahoma, arial, verdana, sans-serif'>Регулируются по высоте от 18 до 22 см. </font></div>";"";"Стул ясельный";"";"";"stul-yaselnyy";"";"";"http://www.pelikan-7.ru/image/cache/data/5/101-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Стол полукруглый на рег. ножках (столешница-пластик)";"";"4.4.1ФП1/4.4.1ФП2";"RUB";"3240";"1";"";"";"<p>
	105*52,5*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см";"<p>
	105*52,5*34-46/46-58 см (Длина*Ширина*Высота (вариант1) / Высота(вариант2)</p>
<p>
	Отличия от аналогичной продукции других производителей: регулируемые ножки крепятся к столешнице через дополнительные пластиковые фланцы большого диаметра (см.фото). </p>
<p>
	Такое крепление препятствует раскачиванию и разбалтыванию ножек, увеличивает срок службы стола. </p>
<p>
	Телескопические ножки окрашены порошковой краской цвета слоновая кость, цвета, который гармонирует с цветом лакированной березовой фанеры и цветом ЛДСП (бук), которые мы используем. Фиксация нужной высоты осуществляется двумя винтами М6.</p>";"";"Стол полукруглый на рег. ножках (столешница-пластик)";"";"";"stol-polukruglyy-na-reg-nozhkakh-stoleshnitsa-plastik";"";"";"http://www.pelikan-7.ru/image/cache/data/4/stol_pol_ff_b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/4/111-500x500.jpg";"";"";"";"";"";"";"";"";"";""
"ЧЕРЕПАШКА дидактическая";"";"0М";"RUB";"0";"1";"";"";"";"";"";"ЧЕРЕПАШКА дидактическая";"";"";"cherepashka-didakticheskaya";"";"";"http://www.pelikan-7.ru/image/cache/data/MM/1504-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Декор настенный большой";"";"14.6";"RUB";"2277";"1";"";"";"";"";"";"Декор настенный большой";"";"";"dekor-nastennyy-bolshoy-";"";"";"http://www.pelikan-7.ru/image/cache/data/14/9_6_1b-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/14/_итер-500x500.JPG";"";"";"";"";"";"";"";"";"";""
"Игрушка-головоломка ГРИБ";"";"16.5";"RUB";"693";"1";"";"";"";"";"";"Игрушка-головоломка ГРИБ";"";"";"igrushka-golovolomka-grib";"";"";"http://www.pelikan-7.ru/image/cache/data/11/11_6n-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Игрушка-головоломка БАШМАК";"";"16.4";"RUB";"846";"1";"";"";"";"";"";"Игрушка-головоломка БАШМАК";"";"";"igrushka-golovolomka-bashmak";"";"";"http://www.pelikan-7.ru/image/cache/data/11/11_4-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Игрушка-головоломка МОСТ";"";"16.3";"RUB";"690";"1";"";"";"";"";"";"Игрушка-головоломка МОСТ";"";"";"igrushka-golovolomka-most";"";"";"http://www.pelikan-7.ru/image/cache/data/11/11_3-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Игрушка-головоломка БАШНЯ";"";"16.2";"RUB";"521";"1";"";"";"";"";"";"Игрушка-головоломка БАШНЯ";"";"";"igrushka-golovolomka-bashnya";"";"";"http://www.pelikan-7.ru/image/cache/data/11/11_2-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Игрушка-головоломка КОЛОДЕЦ";"";"16.1";"RUB";"625";"1";"";"";"";"";"";"Игрушка-головоломка КОЛОДЕЦ";"";"";"igrushka-golovolomka-kolodets";"";"";"http://www.pelikan-7.ru/image/cache/data/11/11_1-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Стул детский (h=34)";"";"5.2.1/р";"RUB";"599";"1";"";"";"<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Спинка и сидение - фанера 10 мм";"<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Каркас фанера 15 мм,</p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Спинка и сидение - фанера 10 мм. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Покрытие: полиэфир или лак НЦ. </p>
<p style='font-family: Arial, Helvetica, sans-serif; margin-top: 0px; color: rgb(0, 0, 0);'>
	Стул соответствует ГОСТ и эргономическим требованиям (спинка и сидение имеют наклон). </p>";"";"Стул детский (h=34)";"";"";"stul-detskiy-h34";"";"";"http://www.pelikan-7.ru/image/cache/data/5/2_6_1-500x500.JPG";"";"";"";"";"";"";"";"";"";"";""
"Декор настенный малый";"";"14.5";"RUB";"1824";"1";"";"";"";"";"";"Декор настенный малый";"";"";"dekor-nastennyy-malyy-";"";"";"http://www.pelikan-7.ru/image/cache/data/14/9_6b-500x500.jpg";"";"";"";"";"";"";"";"";"";"";""
"Набор кубиков (10 шт.)";"";"***";"RUB";"3500";"1";"";"";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"<p>
	Цвета:</p>
<ul>
	<li>
		красный</li>
	<li>
		оранжевый</li>
	<li>
		морская волна</li>
	<li>
		синий</li>
	<li>
		розовый</li>
	<li>
		желтый</li>
	<li>
		сиреневый </li>
	<li>
		голубой</li>
	<li>
		зеленый</li>
	<li>
		белый</li>
</ul>";"";"Набор кубиков (10 шт.)";"";"";"nabor-kubikov-10-sht";"";"";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5451_2-500x500.jpg";"http://www.pelikan-7.ru/image/cache/data/Excl2/IMG_5454_2-500x500.jpg";"";"";"";"";"";"";"";"";"";""
