Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Playdorado";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Пирамиды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Пухлик'";"";"13035";"RUB";"279.00";"1";"";"";"";"Пирамида «Пухлик» предназначена для самых маленьких детей. Все детали игрушки изготовлены из безопасных для ребенка материалов — пластмассы и красителей. Яркие и гладкие кольца приятно не только брать в ручки, их можно и попробовать на вкус. Ребенок надолго будет увлечен игрой.";"";"Пирамида 'Пухлик'";"";"";"piramida-quotpukhlikquot";"";"";"150.00 мм x 150.00 мм x 250.00 мм";"https://playdorado.ru/image/cache/data/13035-600x600.jpg";"https://playdorado.ru/image/cache/data/13035-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13035-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Пузатик'";"";"13034";"RUB";"391.00";"1";"";"";"";"Разноцветная пирамида «Пузатик» обязательно привлечет внимание вашего ребенка. Пять колец разного диаметра нанизаны на основание. Яркие цвета пирамиды не позволят потеряться деталям ни дома, ни на улице. Игры с пирамидками способствуют развитию ребенка, улучшая координацию его движений.";"";"Пирамида 'Пузатик'";"";"";"piramida-quotpuzatikquot";"";"";"135.00 мм x 135.00 мм x 295.00 мм";"https://playdorado.ru/image/cache/data/13034-600x600.jpg";"https://playdorado.ru/image/cache/data/13034-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13034-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Гора'";"";"13038";"RUB";"587.00";"1";"";"";"";"Пирамида «Гора» — это семь ярких колец разного диаметра с навершием-шариком. Разобрать на детали пирамиду ребенку легко, а вот чтобы правильно собрать, придется изучить все кольца и включить логическое мышление. Играя с ребенком вместе, вы можете научить малыша элементарному счету.";"";"Пирамида 'Гора'";"";"";"piramida-quotgoraquot";"";"";"105.00 мм x 105.00 мм x 380.00 мм";"https://playdorado.ru/image/cache/data/13038-600x600.jpg";"https://playdorado.ru/image/cache/data/13038-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13038-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Клоун (большое кольцо)";"";"91018";"RUB";"335.00";"1";"";"";"";"Пирамидки — одни из самых полезных развивающих игрушек для детей младшего возраста. Пирамида клоун (большое кольцо) состоит из четырех ярких разноцветных колец и забавной головы клоуна. С ее помощью у ребенка будут развиваться мелкая моторика и логическое мышление.";"";"Пирамида Клоун (большое кольцо)";"";"";"piramida-kloun-bolshoe-koltso";"";"";"150.00 мм x 150.00 мм x 270.00 мм";"https://playdorado.ru/image/cache/data/91018-600x600.jpg";"https://playdorado.ru/image/cache/data/91018-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91018-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Небесая'";"";"13033";"RUB";"175.00";"1";"";"";"";"Пирамида «Небесная» оправдывает свое название приятными для восприятия ребенка синими и голубыми оттенками колец. Игра с пирамидой будет не только интересной, но и полезной для маленьких детей. С ее помощью развивается фантазия ребенка, координация движений и мелкая моторика.";"";"Пирамида 'Небесая'";"";"";"piramida-quotnebesayaquot";"";"";"95.00 мм x 95.00 мм x 170.00 мм";"https://playdorado.ru/image/cache/data/13033-600x600.jpg";"https://playdorado.ru/image/cache/data/13033-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13033-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Милашка'";"";"13046";"RUB";"97.00";"1";"";"";"";"Пирамида «Милашка» выполнена в виде симпатичной улитки, панцирь который состоит из трех крупных колец и навершия-шарика. Малышей привлекают яркие цвета и колечки, которые можно снимать и снова нанизывать на основание. С такой игрушкой можно играть дома, в ванной, в песочнице. Яркие кольца не потеряются.";"";"Пирамида 'Милашка'";"";"";"piramida-quotmilashkaquot";"";"";"100.00 мм x 100.00 мм x 75.00 мм";"https://playdorado.ru/image/cache/data/13046-600x600.jpg";"https://playdorado.ru/image/cache/data/13046-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13046-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Змея'";"";"13039";"RUB";"315.00";"1";"";"";"";"Пирамида «Змея» понравится детям от трех лет. Малышам так нравятся игрушки, которые разбираются на несколько деталей. Пирамида состоит из четырех колец разного размера с навершием в виде симпатичной и доброй змеи.";"";"Пирамида 'Змея'";"";"";"piramida-quotzmeyaquot";"";"";"115.00 мм x 115.00 мм x 300.00 мм";"https://playdorado.ru/image/cache/data/13039-600x600.jpg";"https://playdorado.ru/image/cache/data/13039-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13039-2-600x600.jpg";"https://playdorado.ru/image/cache/data/13039-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
