Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!PolisieToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Электромобили";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!!Molto 6V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Квадроцикл-мини 'Molto' 6V (R)";"";"PLS-61843";"RUB";"5462,6";"1";"";"";"";"<tr> <td><span class='catalog-item-fields-name'>Артикул:</span></td> <td>61843</td> </tr>   <tr> <td><span class='catalog-item-fields-name'>EAN-13:</span></td> <td> <span class='display-inline-block align-center'> <span class='display-block'><img src='http://www.polesie-toys.com/ean13/4810344061843.png'></span> <span class='display-block'>4810344061843</span> </span> </td> </tr>     <tr><td colspan='2'><div class='catalog-item-fields-header'>Одиночная упаковка</div></td></tr>      <tr> <td><span class='view_item_field_2'><span class='catalog-item-fields-name'>Вид одиночной упаковки:</span></span></td> <td>гофрокоробка</td> </tr>     <tr> <td><span class='view_item_field_3'><span class='catalog-item-fields-name'>Размер  в упаковке (ДхШхВ), мм:</span></span></td> <td>620х478х455</td> </tr>    <tr><td colspan='2'><div class='catalog-item-fields-header'>Групповая упаковка</div></td></tr>      <tr> <td><span class='view_item_field_6'><span class='catalog-item-fields-name'>Примерный объем, м3:</span></span></td> <td>0,162</td> </tr>     <tr> <td><span class='view_item_field_7'><span class='catalog-item-fields-name'>Количество, шт:</span></span></td> <td>1</td> </tr>       <tr><td colspan='2'><div class='catalog-item-fields-header'>Сертификат</div></td></tr> <tr> <td><span class='view_item_field_download'><span class='catalog-item-fields-name'>Скачать по ссылке:</span></span></td> <td><a class='button' href='http://www.polesie-toys.com/files/17572gbuiqavkhs/ts-by-112-02.01.-003-11817-yelektromobil-dlya-detej-ot-1-go-do-3-h-let.pdf' target='_blank' title='ТС BY 112 02.01. 003 11817  - Серия транспортных игрушек ' электромобиль'='' для='' детей='' от='' 1-го='' года='' до='' 3-х='' лет'=''>Скачать</a></td> </tr>    <tr><td colspan='2' class='catalog-item-spacer-td'></td></tr>";"";"Квадроцикл-мини 'Molto' 6V (R)";"";"";"kvadrotsikl-mini-quotmoltoquot-6v-r-pls-61843";"";"";"";"";"";"";"http://www.polesie-toys.com/images/17573ymkuxaprwz/small-61843.jpg";"";"";"";"";"";"";"";"";""
"!!!Molto Elite 12v";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Квадроцикл 'Molto Elite 5', 12V (R)";"";"PLS-35929";"RUB";"15562,76";"1";"";"";"";"<tr> <td><span class='catalog-item-fields-name'>Артикул:</span></td> <td>35929</td> </tr>   <tr> <td><span class='catalog-item-fields-name'>EAN-13:</span></td> <td> <span class='display-inline-block align-center'> <span class='display-block'><img src='http://www.polesie-toys.com/ean13/4810344035929.png'></span> <span class='display-block'>4810344035929</span> </span> </td> </tr>     <tr><td colspan='2'><div class='catalog-item-fields-header'>Одиночная упаковка</div></td></tr>      <tr> <td><span class='view_item_field_3'><span class='catalog-item-fields-name'>Размер  в упаковке (ДхШхВ), мм:</span></span></td> <td>1085х735х764</td> </tr>     <tr> <td><span class='view_item_field_8'><span class='catalog-item-fields-name'>Размер в собранном виде (ДхШхВ), мм:</span></span></td> <td>1060х730х750</td> </tr>    <tr><td colspan='2'><div class='catalog-item-fields-header'>Групповая упаковка</div></td></tr>      <tr> <td><span class='view_item_field_5'><span class='catalog-item-fields-name'>Вид групповой упаковки:</span></span></td> <td>гофрокороб</td> </tr>     <tr> <td><span class='view_item_field_6'><span class='catalog-item-fields-name'>Примерный объем, м3:</span></span></td> <td>0,64</td> </tr>     <tr> <td><span class='view_item_field_7'><span class='catalog-item-fields-name'>Количество, шт:</span></span></td> <td>1</td> </tr>       <tr><td colspan='2'><div class='catalog-item-fields-header'>Сертификат</div></td></tr> <tr> <td><span class='view_item_field_download'><span class='catalog-item-fields-name'>Скачать по ссылке:</span></span></td> <td><a class='button' href='http://www.polesie-toys.com/files/17643hzswdkalro/ts-by-112-02.01.003-03697-yelektromobili-small.pdf' target='_blank' title='ТС BY/112 02.01.003 03697 - Электромобили'>Скачать</a></td> </tr>    <tr><td colspan='2' class='catalog-item-spacer-td'></td></tr>";"";"Квадроцикл 'Molto Elite 5', 12V (R)";"";"";"kvadrotsikl-quotmolto-elite-5quot-12v-r-pls-35929";"";"";"";"";"";"";"http://www.polesie-toys.com/images/9722wcvdzoxyfe/35929.jpg";"";"";"";"";"";"";"";"";""
"Квадроцикл 'Molto Elite 5', 12V (Bl)";"";"PLS-35936";"RUB";"15562,76";"1";"";"";"";"<tr> <td><span class='catalog-item-fields-name'>Артикул:</span></td> <td>35936</td> </tr>   <tr> <td><span class='catalog-item-fields-name'>EAN-13:</span></td> <td> <span class='display-inline-block align-center'> <span class='display-block'><img src='http://www.polesie-toys.com/ean13/4810344035936.png'></span> <span class='display-block'>4810344035936</span> </span> </td> </tr>     <tr><td colspan='2'><div class='catalog-item-fields-header'>Одиночная упаковка</div></td></tr>      <tr> <td><span class='view_item_field_3'><span class='catalog-item-fields-name'>Размер  в упаковке (ДхШхВ), мм:</span></span></td> <td>1085х735х764</td> </tr>     <tr> <td><span class='view_item_field_8'><span class='catalog-item-fields-name'>Размер в собранном виде (ДхШхВ), мм:</span></span></td> <td>1060х730х750</td> </tr>    <tr><td colspan='2'><div class='catalog-item-fields-header'>Групповая упаковка</div></td></tr>      <tr> <td><span class='view_item_field_5'><span class='catalog-item-fields-name'>Вид групповой упаковки:</span></span></td> <td>гофрокороб</td> </tr>     <tr> <td><span class='view_item_field_6'><span class='catalog-item-fields-name'>Примерный объем, м3:</span></span></td> <td>0,64</td> </tr>     <tr> <td><span class='view_item_field_7'><span class='catalog-item-fields-name'>Количество, шт:</span></span></td> <td>1</td> </tr>       <tr><td colspan='2'><div class='catalog-item-fields-header'>Сертификат</div></td></tr> <tr> <td><span class='view_item_field_download'><span class='catalog-item-fields-name'>Скачать по ссылке:</span></span></td> <td><a class='button' href='http://www.polesie-toys.com/files/17643hzswdkalro/ts-by-112-02.01.003-03697-yelektromobili-small.pdf' target='_blank' title='ТС BY/112 02.01.003 03697 - Электромобили'>Скачать</a></td> </tr>    <tr><td colspan='2' class='catalog-item-spacer-td'></td></tr>";"";"Квадроцикл 'Molto Elite 5', 12V (Bl)";"";"";"kvadrotsikl-quotmolto-elite-5quot-12v-bl-pls-35936";"";"";"";"";"";"";"http://www.polesie-toys.com/images/10244uiwthslkgc/35936.jpg";"";"";"";"";"";"";"";"";""
"Квадроцикл 'Molto Elite 5', 12V (O)";"";"PLS-35912";"RUB";"15562,76";"1";"";"";"";"<tr> <td><span class='catalog-item-fields-name'>Артикул:</span></td> <td>35912</td> </tr>   <tr> <td><span class='catalog-item-fields-name'>EAN-13:</span></td> <td> <span class='display-inline-block align-center'> <span class='display-block'><img src='http://www.polesie-toys.com/ean13/4810344035912.png'></span> <span class='display-block'>4810344035912</span> </span> </td> </tr>     <tr><td colspan='2'><div class='catalog-item-fields-header'>Одиночная упаковка</div></td></tr>      <tr> <td><span class='view_item_field_3'><span class='catalog-item-fields-name'>Размер  в упаковке (ДхШхВ), мм:</span></span></td> <td>1085х735х764</td> </tr>     <tr> <td><span class='view_item_field_8'><span class='catalog-item-fields-name'>Размер в собранном виде (ДхШхВ), мм:</span></span></td> <td>1060х730х750</td> </tr>    <tr><td colspan='2'><div class='catalog-item-fields-header'>Групповая упаковка</div></td></tr>      <tr> <td><span class='view_item_field_5'><span class='catalog-item-fields-name'>Вид групповой упаковки:</span></span></td> <td>гофрокороб</td> </tr>     <tr> <td><span class='view_item_field_6'><span class='catalog-item-fields-name'>Примерный объем, м3:</span></span></td> <td>0,64</td> </tr>     <tr> <td><span class='view_item_field_7'><span class='catalog-item-fields-name'>Количество, шт:</span></span></td> <td>1</td> </tr>       <tr><td colspan='2'><div class='catalog-item-fields-header'>Сертификат</div></td></tr> <tr> <td><span class='view_item_field_download'><span class='catalog-item-fields-name'>Скачать по ссылке:</span></span></td> <td><a class='button' href='http://www.polesie-toys.com/files/17643hzswdkalro/ts-by-112-02.01.003-03697-yelektromobili-small.pdf' target='_blank' title='ТС BY/112 02.01.003 03697 - Электромобили'>Скачать</a></td> </tr>    <tr><td colspan='2' class='catalog-item-spacer-td'></td></tr>";"";"Квадроцикл 'Molto Elite 5', 12V (O)";"";"";"kvadrotsikl-quotmolto-elite-5quot-12v-o-pls-35912";"";"";"";"";"";"";"http://www.polesie-toys.com/images/10243npmrswtoga/small-35912.jpg";"";"";"";"";"";"";"";"";""
"!!!Molto Elite 6V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
