Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!Rntoys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бусы деревянные";"";"";"";"";"";"";"";"";"<h1>Бусы деревянные</h1>
        <p>Бусы производства RNToys - Russian Natural Toys -изготовлены в России из  дерева березы, липы, сосны. </p>
<p>Сертифицированные краски  делают наши бусы  красивыми, яркими, гладкими и безопасными.</p>
<p>В  бусы можно играть и с малышами до 3-х лет, но только под присмотром родителей.</p>";"";"";"";"";"";"";"";"";"";"";""
"Бусы Радуга шары малые цветные (14 шт)";"";"RS-Д-642";"RUB";"215,00";"1";"";"";"";"от 3 лет";"";"Бусы Радуга шары малые цветные (14 шт)";"";"";"busy-raduga-shary-malye-tsvetnye-14-sht-rs-d-642";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-642-300.jpg"
"Бусы неокрашенные";"";"RS-Д-040";"RUB";"135,00";"1";"";"";"";"от 3 лет";"";"Бусы неокрашенные";"";"";"busy-neokrashennye-rs-d-040";"";"";"15х19 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-040-300.jpg"
"Бусы лесные плоды";"";"RS-Д-088";"RUB";"118,75";"1";"";"";"";"от 3 лет";"";"Бусы лесные плоды";"";"";"busy-lesnye-plody-rs-d-088";"";"";"15х109см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-088-300.jpg"
"Бусы гусеница цветная";"";"RS-Д-156";"RUB";"212,50";"1";"";"";"";"от 3 лет";"";"Бусы гусеница цветная";"";"";"busy-gusenitsa-tsvetnaya-rs-d-156";"";"";"15х19см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-156-300.jpg"
"Бусы геометрические цветные";"";"RS-Ш-042";"RUB";"281,25";"1";"";"";"";"от 3 лет";"";"Бусы геометрические цветные";"";"";"busy-geometricheskie-tsvetnye-rs-sh-042";"";"";"15х19см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%a8-042-300.jpg"
"Бусы геометрические цветные (шарики и шайбочки)";"";"RS-Д-568";"RUB";"243,75";"1";"";"";"";"от 3 лет";"";"Бусы геометрические цветные (шарики и шайбочки)";"";"";"busy-geometricheskie-tsvetnye-shariki-i-shaybochki--rs-d-568";"";"";"12*15 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-568-300.jpg"
"Бусы геометрические неокрашенные";"";"RS-Д-538";"RUB";"225,00";"1";"";"";"";"от 3 лет";"";"Бусы геометрические неокрашенные";"";"";"busy-geometricheskie-neokrashennye-rs-d-538";"";"";"18*15";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Beads/%d0%94-538-300.jpg"
