Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!valda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Уникальные игрушки, которые можно купить только у нас";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Большой комплект Бирюлек в зимнем домике ' В гости к лисичке'";"";"";"RUB";"1850.0000";"1";"";"";"<p><strong><strong>Народная игра «Бирюльки»</strong>";"<p><strong><strong>Народная игра «Бирюльки»</strong>.</strong><br></p><p>Все мы слышали выражение «играть в бирюльки». Оно означает — заниматься ерундой, бездельничать. Но если вы играете в бирюльки, это вовсе не значит, что вы занимаетесь ерундой.</p><p>История умалчивает, когда взрослые заметили увлеченность детей бирюльками и как бирюльки переросли в поистине всенародную игру. Неизвестно также, какой русский умелец впервые изготовил бирюльки. В России существовало два вида игры в бирюльки — играли в бирюльки-палочки и в бирюльки, выточенные на токарном станке. И если первый вариант игры (в виде палочек, проволочек или соломинок) можно было сделать самим и играли в него в основном деревенские детишки, то токарные бирюльки ждала совсем другая судьба.</p><p>Начиная с XIX века, точеные русские бирюльки стали семейным и даже светским развлечением, а к началу XX столетия их можно было назвать одной из наиболее популярных игр любого сословия. Бирюльки изготавливались из различных пород дерева и даже из слоновой кости. Бирюльки были непременным атрибутом аристократических салонов. Затейливые бирюльки в коробочках разных форм и размеров продавались в московских магазинах в комплекте с шоколадными наборами.</p><p><strong>Правила</strong> этой старинной игры чрезвычайно просты.<strong> </strong></p><p>1. Бирюльки высыпают на стол так, что они ложатся кучкой, из которой играющие поочередно вынимают их при помощи проволочного крючка, насаженного на палочку. </p><p>2.  Кто пошевелит соседнюю бирюльку, передает крючок следующему игроку.</p><p>3. Игра продолжается до тех пор, пока не разберут всю кучку. </p><p>4. Выигрывает тот, у кого набралось больше бирюлек. Или играют до тех пор, пока у одного из игроков не наберется условленное число бирюлек.</p><p>Домик получился просто чудесный. На каких то рисунках лисичка стоит, а где-то уже притомилась ждать и присела.</p><p>А где-то в гости к лисичке уже припрыгал зайчонок. Он не боится! Лисичка у нас очень ласковая и приветливая.</p><p>Художница нарисовала всего 10 таких домиков.</p>";"";"Большой комплект Бирюлек в зимнем домике ' В гости к лисичке'";"";"";"bolshoy-komplekt-biryulek-v-zimnem-domike-quot-v-gosti-k-lisichkequot";"";"";"";"http://valda.ru/wa-data/public/shop/products/40/01/140/images/572/572.750.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамидка Снеговичок";"";"";"RUB";"600.0000";"1";"";"";"<strong>Пирамидка «Снеговичок»</strong> - праздничная нарядная деревянная пирамидка из трех шариков";"<strong>Пирамидка «Снеговичок»</strong> - праздничная нарядная деревянная пирамидка из трех шариков. Не снеговичок – прямо настоящий франт у нас получился!<br><p><br><p><br>Рост около 16 см (вместе с колпачком), диаметр нижнего шарика около 5 см.<br></p><br><p><br>У снеговичка ручки из веревочек – он очень любит здороваться с малышами и водить хороводы.<br></p><br><p><br>Нос – самая настоящая морковка – но только деревянная.<br></p><br><p><br>Высокий ярко-красный колпачок из фетра с помпоном (не снимается, видимо снеговичок стесняется своей блестящей снежной лысинки).<br></p><br><p><br>Хочет дружить, хочет красоваться под елочкой, готов даже украшать ваш рабочий стол. В общем будет рад оказаться в любом месте, главное чтобы в центре внимания. И обещает не растаять от жара вашей любви!<br></p>";"";"Пирамидка Снеговичок";"";"";"piramidka-snegovichok";"";"";"";"http://valda.ru/wa-data/public/shop/products/39/01/139/images/569/569.970.jpg";"http://valda.ru/wa-data/public/shop/products/39/01/139/images/570/570.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шар звенящий Ротонда в осенней роще";"";"";"RUB";"700.0000";"1";"";"";"<p>А вот и второй уникальный звенящий шарик от нашей чудесной художницы";"<p>А вот и второй уникальный звенящий шарик от нашей чудесной художницы. На нем ... ох, на нем просто шедевр! Белоснежная ротонда на краю обрыва, а из из нее открывается захватывающий вид на осенние поля. Как же должно быть здорово сидеть в ней, закутавшись в шаль! Смотреть на бескрайний простор. Дышать потрясающим ароматом осенней рощи. Слушать шелест опадающей листвы за спиной. Хочу туда! </p>";"";"Шар звенящий Ротонда в осенней роще";"";"";"shar-zvenyashchiy-rotonda-v-osenney-roshche";"";"";"";"http://valda.ru/wa-data/public/shop/products/38/01/138/images/562/562.970.jpg";"http://valda.ru/wa-data/public/shop/products/38/01/138/images/560/560.970.jpg";"http://valda.ru/wa-data/public/shop/products/38/01/138/images/561/561.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"Шар звенящий Русское поле";"";"";"RUB";"700.0000";"1";"";"";"<p>Здесь миниатюра, изображающая бескрайние русские просторы - поля, убегающие до горизонта дороги, небольшой деревенский домик, старая церквушка и небо";"<p>Здесь миниатюра, изображающая бескрайние русские просторы - поля, убегающие до горизонта дороги, небольшой деревенский домик, старая церквушка и небо. Бесконечный, бездонный купол неба с легкими перистыми облачками. Лето в средней полосе России. Рассматривать детали можно до бесконечности! Поскольку это ручная роспись, то шарики хоть и похожи по сюжету, но конечно же разные. </p>";"";"Шар звенящий Русское поле";"";"";"shar-zvenyashchiy-russkoe-pole";"";"";"";"http://valda.ru/wa-data/public/shop/products/37/01/137/images/559/559.970.jpg";"http://valda.ru/wa-data/public/shop/products/37/01/137/images/557/557.970.jpg";"http://valda.ru/wa-data/public/shop/products/37/01/137/images/558/558.970.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Развивающие игрушки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Комплект 'Чугунок с ложкой";"";"";"RUB";"180.0000";"1";"";"";"<p>Чугунок с ложкой выточены из липы и окрашены вручную";"<p>Чугунок с ложкой выточены из липы и окрашены вручную.</p><p>Идеально подходит для сюжетной игры.</p>  <p>Высота чугунка 5,5см, диаметр 5см.</p>  <p>Длина ложки 10 см.</p>  <p>Упаковка: п/э пакет</p>";"";"Комплект 'Чугунок с ложкой";"";"";"komplekt-quotchugunok-s-lozhkoy";"";"";"";"http://valda.ru/wa-data/public/shop/products/47/00/47/images/385/385.970.jpg";"http://valda.ru/wa-data/public/shop/products/47/00/47/images/210/210.970.jpg";"http://valda.ru/wa-data/public/shop/products/47/00/47/images/208/208.970.jpg";"http://valda.ru/wa-data/public/shop/products/47/00/47/images/211/211.970.jpg";"";"";"";"";"";"";"";"";"";"";"";""
"Машинка 'Ока'";"";"13К";"RUB";"350.0000";"1";"";"";"";"";"";"Машинка 'Ока'";"";"";"mashinka-quotokaquot";"";"";"";"http://valda.ru/wa-data/public/shop/products/25/01/125/images/409/409.750.JPG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
